FILE_NAME,COLOR1,COLOR2,COLOR3,COLOR4,COLOR5
1892335878195-1.jpg,#445151,#000000,#6e7a79,#243031,#dfe1df
1905191583795-1.jpg,#434a48,#232827,#000000,#768082,#d4dee0
1926273269811-1.jpg,#000000,#bbbeb9,#e1e5e2,#ba0735,#58595a
1926274678835-1.jpg,#2d3539,#181d20,#000000,#f2f7f6,#4c585d
1926277562419-1.jpg,#000000,#f3f5f5,#2b3638,#171d1f,#5e7074
1940405649495-1.jpg,#000000,#6a92b6,#cfdeec,#e1ac98,#695854
1943798972503-1.jpg,#010101,#30473d,#6db579,#f2e9cb,#f8e05e
197454200859-1.jpg,#c4898d,#000000,#eebec4,#9f2227,#915051
197548277787-1.jpg,#c8878f,#a72432,#000000,#edb5bc,#99535c
2012822339671-1.jpg,#d686aa,#d3c2ca,#000000,#e8e5e9,#5e5d5d
2016313573463-1.png,#828276,#d1ad98,#000000,#ded8d3,#60584d
21317287949-1.png,#000000,#b69379,#a24338,#d1b290,#d7a250
21318434829-1.png,#272727,#000000,#5a5a5a,#181818,#9a9a9a
2165933670459-1.jpg,#d8c6be,#314356,#000000,#4a6480,#768da7
2165936291899-1.jpg,#51617d,#000000,#2f3d5b,#212332,#c7957a
2165951103035-1.jpg,#d4ccc5,#000000,#38506f,#15273e,#aa8778
2170470727739-1.jpg,#ddcbbc,#030303,#614c48,#aa7962,#c4a895
2184028225595-1.jpg,#e7ded2,#000000,#b79d84,#d2c1af,#574c42
2184051818555-1.jpg,#ccc7bf,#000000,#aea498,#e2dfd8,#826f5d
2184054767675-1.jpg,#b6947c,#000000,#a58268,#6a4e38,#926f53
2184054833211-1.jpg,#29292c,#000000,#3a383c,#212023,#5b5a5b
2184058667067-1.jpg,#000000,#414140,#e2d9c8,#d3c4af,#938d83
2184060960827-1.jpg,#d1ad87,#b28d67,#72563d,#000000,#ead0af
2184063549499-1.jpg,#efd7bc,#000000,#1e1a16,#ceae8c,#9b7b5c
2184063713339-1.jpg,#000000,#181818,#272626,#39383a,#636163
2184064860219-1.jpg,#876f61,#a78b7b,#000000,#bca290,#493d35
2184064991291-1.jpg,#ac9f95,#9d9084,#000000,#8e8073,#4e4a45
2184181678139-1.jpg,#39393f,#25262b,#000000,#cfcdcb,#68686c
2184181973051-1.jpg,#1f1f25,#6b6b71,#38383f,#d2d2d1,#000000
2184192163899-1.jpg,#393940,#000000,#58595d,#27272d,#a2a09e
2184199143483-1.jpg,#313139,#222227,#000000,#7f7e7c,#4f4d51
2184216870971-1.jpg,#000000,#25242a,#34333a,#48474e,#636369
2184221196347-1.jpg,#242429,#000000,#38383e,#59595e,#c9c5bf
2184230174779-1.jpg,#c19a7f,#d8b195,#514239,#000000,#9c7a63
2184234074171-1.jpg,#bd977e,#000000,#8e6f5b,#d5ae92,#483d37
2184245116987-1.jpg,#000000,#3d3d44,#29292f,#aaaaab,#606066
2184248524859-1.jpg,#edeceb,#000000,#424248,#29282e,#827f80
2184259993659-1.jpg,#2f2e31,#525054,#000000,#737175,#f1f1f0
2184260124731-1.jpg,#e6b89a,#4d4949,#000000,#aa4c33,#bf7d65
2185223307323-1.jpg,#fdfdfc,#000000,#b39363,#d8bc91,#5e584f
2185230286907-1.jpg,#fdfdfc,#a98b54,#000000,#dec38a,#524b3f
2185241198651-1.jpg,#fdfdfc,#000000,#d4b37a,#978669,#434241
2185251029051-1.jpg,#000000,#443735,#fcfcfc,#7c5e57,#ad9e94
2186184130619-1.jpg,#000000,#ac7462,#934a3a,#e0bca2,#4d352e
2186198548539-1.png,#aa5d29,#000000,#86a2c3,#587192,#e7bc9e
2228601225275-1.jpg,#000000,#d3cabe,#e6dfd7,#6c5545,#a89078
2228618297403-1.jpg,#e3d0c2,#000000,#ccb4a1,#b2957d,#836a55
2232444518459-1.jpg,#c46e51,#d99773,#933b29,#e8bea0,#010100
2277541249083-1.jpg,#eae9e7,#000000,#cb9268,#afa9b0,#63514f
228312449056-1.jpg,#80796e,#1d1e1f,#000000,#494745,#c7b59f
228326047776-1.jpg,#0a0d12,#24292e,#525658,#000000,#959996
228391321632-1.jpg,#2c2a2c,#403f42,#171618,#000000,#6c6e6f
228531961888-1.jpg,#141417,#29292b,#000000,#6c6a65,#434342
2343648493651-1.jpg,#000000,#1e1c1e,#272527,#3e3d3d,#665d5c
2344679735356-1.jpg,#c99572,#000000,#7b5e44,#28231f,#e8c5a6
2348799197244-1.jpg,#09a1bb,#c89a86,#000000,#e4c0b1,#254758
2348799721532-1.jpg,#4a2c57,#e2d8df,#000000,#60bece,#b6a2ab
2348800344124-10.jpg,#95909a,#000000,#42323d,#bfc6d1,#6e5a66
2358297231444-1.png,#010101,#4d4b4f,#636367,#ededec,#8a8888
2358298280020-1.png,#000000,#3f4142,#4d4e50,#616364,#1b1c1d
2368956792916-1.png,#414551,#33353f,#000000,#666972,#212125
2379079024724-1.png,#172c44,#000000,#284260,#cbd2dc,#556a87
2379079057492-1.png,#d2dadc,#6a7376,#000000,#909a9d,#42494c
2379079450708-1.png,#37393c,#000000,#847f78,#1a1c1f,#d4d7d9
2386197217364-1.png,#dcdfe3,#606263,#2d2e2f,#000000,#8c8e91
2386199314516-1.png,#242628,#393c40,#000000,#141618,#aeaeaf
2386199380052-1.png,#161b1b,#313535,#585959,#000000,#dfdfdf
2386201313364-1.png,#171b1f,#23252a,#7f8183,#fcfcfc,#000000
2386251939924-1.png,#98987d,#101419,#e0e3e7,#21252a,#000001
2397844602964-1.png,#323538,#000000,#878887,#b69a23,#d2d3d4
2397844668500-1.png,#000000,#2c3036,#dbdbdd,#5f6469,#999c9e
2397844734036-1.png,#000000,#d5d5d7,#8e9093,#4da2dd,#2b323a
2397844799572-1.png,#86b3d8,#000001,#e6eef0,#465165,#0d6bc0
2397844832340-1.png,#000000,#b3babd,#848b89,#e3e5e4,#535957
2397844897876-1.png,#e2edee,#000000,#b7cbc9,#94aaa1,#647a73
2397844930644-1.png,#010000,#f2e8da,#d88432,#9cdefa,#a79488
2397844963412-1.png,#000000,#f2e3ec,#b1547b,#d59bb7,#70be9d
2397844996180-1.png,#000000,#5d426a,#7c939c,#bec0ce,#312237
2397845028948-1.png,#b89a9b,#000000,#efdada,#834643,#eba255
2397845061716-1.png,#e1f8f7,#a1d7cb,#60bfb0,#000000,#49826f
2397845094484-1.png,#000000,#c8d0d2,#e4eaed,#41769e,#66b2ec
2397845127252-1.png,#000000,#f6f7e0,#ccce92,#5f6252,#94d7f7
